ENGINESIZE;CYLINDERS;CO2EMISSIONS
2;4;196
2.4;4;221
1.5;4;136
3.5;6;255
3.5;6;244
3.5;6;230
3.5;6;232
3.7;6;255
3.7;6;267
2.4;4;212
2.4;4;225
3.5;6;239
5.9;12;359
5.9;12;359
4.7;8;338
4.7;8;354
4.7;8;338
4.7;8;354
5.9;12;359
2;4;202
2;4;230
2;4;214
2;4;230
2;4;230
2;4;214
2;4;235
3;6;251
3;6;224
3;6;258
3;6;224
3;6;258
4;8;260
3;6;227
3;6;258
4;8;288
6.3;12;361
3;6;230
2;4;242
2;4;239
3;6;258
2;4;212
3;6;246
3;6;304
3;6;294
4.2;8;336
4.2;8;407
5.2;10;354
5.2;10;409
4.2;8;336
4.2;8;407
5.2;10;354
5.2;10;409
4.2;8;306
4.2;8;308
4;8;290
3;6;262
3;6;285
3;6;262
3;6;285
3;6;267
4;8;281
4;8;281
4;8;297
3;6;292
2;4;209
2;4;209
2;4;237
2;4;237
4;8;297
6;12;356
4;8;320
6;12;380
4;8;322
6;12;380
6;12;380
6.8;8;437
2;4;193
2;4;200
2;4;202
2;4;181
2;4;181
2;4;193
2;4;200
2;4;209
2;4;209
2;4;209
3;6;221
3;6;230
3;6;228
3;6;237
3;6;232
2;4;193
2;4;200
2;4;209
3;6;221
3;6;230
3;6;228
3;6;237
2;4;202
2;4;209
3;6;213
3;6;232
3;6;246
4.4;8;281
4.4;8;292
3;6;232
4.4;8;292
4.4;8;281
4.4;8;292
3;6;246
4.4;8;292
4.4;8;292
6;12;356
3;6;191
3;6;214
3;6;212
4.4;8;292
4.4;8;292
4.4;8;338
4.4;8;317
4.4;8;338
4.4;8;317
4.4;8;338
4.4;8;317
4.4;8;338
4.4;8;317
2;4;209
3;6;260
2;4;230
3;6;253
3;6;255
4.4;8;320
4.4;8;370
3;6;274
4.4;8;324
2;4;209
2;4;200
3;6;278
3;6;253
3;6;278
3.6;6;283
3.6;6;290
1.4;4;196
1.4;4;212
3.6;6;264
3.6;6;250
3.6;6;264
3.6;6;264
2.4;4;189
2;4;228
2;4;225
2;4;246
2.4;4;189
2;4;228
2;4;225
2.4;4;218
2;4;221
2;4;235
2.5;4;207
3.6;6;251
2;4;232
3.6;6;260
3.6;6;258
3.6;6;262
2;4;232
3.6;6;248
2;4;248
3.6;6;260
3.6;6;294
3;6;253
3.6;6;260
3;6;255
3.6;6;262
6.2;8;382
6.2;8;340
6.2;8;382
6.2;8;340
6.2;8;382
6.2;8;340
6.2;8;338
6.2;8;322
6.2;8;377
6.2;8;354
3.6;6;283
3.6;6;294
3.6;6;262
3.6;6;271
3.6;6;290
3.6;6;258
3.6;6;269
3.6;6;242
6.2;8;294
